tree_dbh,spc_latin,latitude,longitude
14,Acer platanoides,40.70505868,-73.89117772
13,Pyrus calleryana,40.67171715,-73.88283085
38,Platanus x acerifolia,40.67157951,-73.83897798
12,Platanus x acerifolia,40.6382408,-73.99885898
11,Pyrus calleryana,40.54423847,-74.19616506
18,Platanus x acerifolia,40.72635328,-73.97284551
5,Quercus palustris,40.80947491,-73.95313604
9,Pyrus calleryana,40.77005326,-73.9885716
23,Quercus palustris,40.73618818,-73.81066455
9,Pyrus calleryana,40.80659413,-73.94203053
22,Platanus x acerifolia,40.55777384,-74.12795086
32,Platanus x acerifolia,40.74347441,-73.83270242
17,Acer platanoides,40.6890562,-73.73292305
21,Acer platanoides,40.68984748,-73.74823584
27,Platanus x acerifolia,40.63367202,-73.92367595
26,Platanus x acerifolia,40.67324353,-73.73009181
24,Quercus palustris,40.73676006,-73.77138954
13,Acer platanoides,40.72320559,-73.90830867
21,Quercus palustris,40.85083474,-73.85192247
22,Quercus palustris,40.70194202,-73.76489547
3,Pyrus calleryana,40.59310837,-74.06741435
10,Pyrus calleryana,40.73688626,-73.98048068
3,Quercus palustris,40.54633552,-74.22274447
11,Quercus palustris,40.64374103,-73.89914069
31,Platanus x acerifolia,40.70559913,-73.74091767
2,Pyrus calleryana,40.65505126,-73.92789205
24,Platanus x acerifolia,40.68121431,-73.94233075
11,Quercus palustris,40.63710774,-73.98982993
8,Pyrus calleryana,40.72788902,-73.90638
18,Pyrus calleryana,40.70028068,-73.81101022
10,Platanus x acerifolia,40.65697015,-73.98174327
21,Platanus x acerifolia,40.73630751,-73.7874965
14,Pyrus calleryana,40.76132247,-73.99338043
35,Quercus palustris,40.73436314,-73.89940217
26,Platanus x acerifolia,40.62965642,-73.89788923
4,Platanus x acerifolia,40.8370861,-73.94613882
26,Quercus palustris,40.68243936,-73.99858106
37,Platanus x acerifolia,40.6296035,-74.11865815
10,Pyrus calleryana,40.55701033,-74.20819673
11,Pyrus calleryana,40.61663011,-74.02260767
7,Pyrus calleryana,40.54461101,-74.20015893
8,Pyrus calleryana,40.81887605,-73.94466934
9,Pyrus calleryana,40.76110926,-73.77165095
13,Acer platanoides,40.51608661,-74.19371004
15,Pyrus calleryana,40.68466443,-73.80102659
11,Pyrus calleryana,40.83294601,-73.84929461
9,Pyrus calleryana,40.61473816,-73.91947538
11,Pyrus calleryana,40.59098521,-73.94022104
8,Pyrus calleryana,40.50298551,-74.2456786
19,Acer platanoides,40.74183082,-73.82665722
4,Quercus palustris,40.5942131,-74.16230883
22,Quercus palustris,40.7494388,-73.88526459
14,Acer platanoides,40.68799883,-73.90938513
18,Quercus palustris,40.73758114,-73.81491243
19,Platanus x acerifolia,40.62904661,-74.16365826
5,Quercus palustris,40.61631071,-73.94584957
36,Quercus palustris,40.78408733,-73.8139887
34,Platanus x acerifolia,40.61911418,-73.96219606
21,Platanus x acerifolia,40.76518999,-73.96539843
29,Quercus palustris,40.74852651,-73.75171595
40,Platanus x acerifolia,40.76868764,-73.78115505
8,Pyrus calleryana,40.54617383,-74.19673406
8,Pyrus calleryana,40.7783087,-73.987418
18,Pyrus calleryana,40.62704627,-73.9893824
21,Pyrus calleryana,40.74069283,-73.71535066
29,Platanus x acerifolia,40.74250204,-73.72541277
15,Quercus palustris,40.77487595,-73.80307199
40,Platanus x acerifolia,40.68319755,-73.8613518
37,Quercus palustris,40.73223,-73.82127076
24,Platanus x acerifolia,40.60027744,-73.76251861
20,Quercus palustris,40.83131468,-73.9259895
34,Platanus x acerifolia,40.78169666,-73.80975444
19,Platanus x acerifolia,40.59786877,-73.93057836
25,Acer platanoides,40.745009,-73.75926574
7,Pyrus calleryana,40.70920037,-73.85470169
4,Quercus palustris,40.56484117,-74.12888077
26,Platanus x acerifolia,40.59689863,-73.9345279
25,Quercus palustris,40.78953233,-73.80876329
23,Platanus x acerifolia,40.84827781,-73.84759304
25,Platanus x acerifolia,40.73383871,-73.8223611
22,Platanus x acerifolia,40.57964723,-73.94012712
21,Quercus palustris,40.72739029,-73.85037024
2,Quercus palustris,40.62208479,-74.12682089
10,Pyrus calleryana,40.52123973,-74.21390626
18,Platanus x acerifolia,40.71818663,-73.80111583
24,Platanus x acerifolia,40.85328251,-73.91734622
11,Quercus palustris,40.85366733,-73.93560338
23,Platanus x acerifolia,40.82933654,-73.81811638
18,Platanus x acerifolia,40.83091195,-73.88747234
22,Quercus palustris,40.86636095,-73.93233007
27,Platanus x acerifolia,40.70319325,-73.88522954
23,Platanus x acerifolia,40.64518938,-74.10531039
36,Platanus x acerifolia,40.72110205,-73.74268458
20,Platanus x acerifolia,40.84000831,-73.88994774
4,Quercus palustris,40.80680126,-73.93902571
12,Quercus palustris,40.63341026,-74.09043544
5,Quercus palustris,40.51989825,-74.21156547
19,Acer platanoides,40.76844548,-73.77562644
18,Acer platanoides,40.77843255,-73.79691689
23,Platanus x acerifolia,40.62675865,-73.95788654
10,Acer platanoides,40.67422314,-73.79095409
19,Acer platanoides,40.90405482,-73.84162671
6,Pyrus calleryana,40.51587229,-74.20415859
10,Acer platanoides,40.54964079,-74.16361787
15,Pyrus calleryana,40.68731553,-73.84948021
21,Pyrus calleryana,40.69361916,-73.99803557
13,Acer platanoides,40.73160277,-73.88023666
6,Pyrus calleryana,40.80240052,-73.94277236
4,Acer platanoides,40.65160798,-74.00761738
7,Pyrus calleryana,40.73482497,-74.00474493
30,Platanus x acerifolia,40.71478664,-73.73174964
31,Platanus x acerifolia,40.83178643,-73.8228236
25,Quercus palustris,40.61250357,-73.95403044
9,Quercus palustris,40.71883369,-73.79177178
8,Pyrus calleryana,40.75026547,-73.86459488
34,Quercus palustris,40.73563985,-73.74090439
16,Platanus x acerifolia,40.60878809,-73.9075726
20,Platanus x acerifolia,40.68605292,-73.93194195
10,Pyrus calleryana,40.54914484,-74.17807804
18,Platanus x acerifolia,40.69331788,-73.9569114
5,Pyrus calleryana,40.607258,-73.9888778
10,Acer platanoides,40.90048677,-73.86558057
